dimension0,dimension1,dimension2,dimension3
4.9,3,1.4,0.2,2
4.7,3.2,1.3,0.2,2
4.6,3.1,1.5,0.2,2
5,3.6,1.4,0.2,2
5.4,3.9,1.7,0.4,4
4.6,3.4,1.4,0.3,2
5,3.4,1.5,0.2,2
4.4,2.9,1.4,0.2,2
4.9,3.1,1.5,0.1,2
5.4,3.7,1.5,0.2,4
4.8,3.4,1.6,0.2,2
4.8,3,1.4,0.1,2
4.3,3,1.1,0.1,2
5.8,4,1.2,0.2,4
5.7,4.4,1.5,0.4,4
5.4,3.9,1.3,0.4,4
5.1,3.5,1.4,0.3,2
5.35014,3.79974,1.50673,0.275228,4
5.1,3.8,1.5,0.3,4
5.4,3.4,1.7,0.2,4
5.1,3.7,1.5,0.4,4
4.6,3.6,1,0.2,2
5.1,3.3,1.7,0.5,2
4.8,3.4,1.9,0.2,2
5,3,1.6,0.2,2
5,3.4,1.6,0.4,2
5.2,3.5,1.5,0.2,4
5.2,3.4,1.4,0.2,2
4.7,3.2,1.6,0.2,2
4.8,3.1,1.6,0.2,2
5.4,3.4,1.5,0.4,4
5.2,4.1,1.5,0.1,4
5.5,4.2,1.4,0.2,4
4.9,3.1,1.5,0.1,2
4.89497,3.35077,1.43731,0.24051,2
5.5,3.5,1.3,0.2,4
4.9,3.1,1.5,0.1,2
4.4,3,1.3,0.2,2
5.1,3.4,1.5,0.2,2
5,3.5,1.3,0.3,2
4.5,2.3,1.3,0.3,2
4.4,3.2,1.3,0.2,2
5,3.5,1.6,0.6,2
5.1,3.8,1.9,0.4,4
4.8,3,1.4,0.3,2
5.1,3.8,1.6,0.2,4
4.6,3.2,1.4,0.2,2
5.3,3.7,1.5,0.2,4
5,3.3,1.4,0.2,2
7,3.2,4.7,1.4,1
6.4,3.2,4.5,1.5,3
5.79624,3.03182,3.74257,1.19497,0
5.5,2.3,4,1.3,0
6.5,2.8,4.6,1.5,3
5.7,2.8,4.5,1.3,3
6.3,3.3,4.7,1.6,3
4.9,2.4,3.3,1,0
6.6,2.9,4.6,1.3,3
5.2,2.7,3.9,1.4,0
5,2,3.5,1,0
5.9,3,4.2,1.5,3
6,2.2,4,1,0
6.1,2.9,4.7,1.4,3
5.6,2.9,3.6,1.3,0
6.7,3.1,4.4,1.4,3
5.6,3,4.5,1.5,3
5.8,2.7,4.1,1,0
6.2,2.2,4.5,1.5,3
5.6,2.5,3.9,1.1,0
5.9,3.2,4.8,1.8,3
6.1,2.8,4,1.3,0
6.3,2.5,4.9,1.5,3
6.1,2.8,4.7,1.2,3
6.4,2.9,4.3,1.3,3
6.6,3,4.4,1.4,3
6.8,2.8,4.8,1.4,3
6.58333,2.98168,5.40422,1.92401,1
6,2.9,4.5,1.5,3
5.7,2.6,3.5,1,0
5.5,2.4,3.8,1.1,0
5.5,2.4,3.7,1,0
5.8,2.7,3.9,1.2,0
6,2.7,5.1,1.6,3
5.4,3,4.5,1.5,3
6,3.4,4.5,1.6,3
6.7,3.1,4.7,1.5,3
6.3,2.3,4.4,1.3,3
5.6,3,4.1,1.3,0
5.5,2.5,4,1.3,0
5.5,2.6,4.4,1.2,3
6.1,3,4.6,1.4,3
5.8,2.6,4,1.2,0
5,2.3,3.3,1,0
5.6,2.7,4.2,1.3,0
5.7,3,4.2,1.2,0
5.7,2.9,4.2,1.3,0
6.2,2.9,4.3,1.3,3
5.1,2.5,3,1.1,0
5.7,2.8,4.1,1.3,0
6.3,3.3,6,2.5,1
5.8,2.7,5.1,1.9,3
7.1,3,5.9,2.1,1
6.3,2.9,5.6,1.8,1
6.5,3,5.8,2.2,1
7.6,3,6.6,2.1,1
4.9,2.5,4.5,1.7,3
7.3,2.9,6.3,1.8,1
6.7,2.5,5.8,1.8,1
7.2,3.6,6.1,2.5,1
6.5,3.2,5.1,2,1
6.4,2.7,5.3,1.9,1
6.8,3,5.5,2.1,1
5.7,2.5,5,2,3
5.8,2.8,5.1,2.4,1
6.4,3.2,5.3,2.3,1
6.5,3,5.5,1.8,1
7.7,3.8,6.7,2.2,1
7.7,2.6,6.9,2.3,1
6,2.2,5,1.5,3
6.9,3.2,5.7,2.3,1
5.6,2.8,4.9,2,3
7.7,2.8,6.7,2,1
6.05691,2.82997,4.66366,1.54584,3
6.7,3.3,5.7,2.1,1
7.2,3.2,6,1.8,1
6.2,2.8,4.8,1.8,3
6.1,3,4.9,1.8,3
6.4,2.8,5.6,2.1,1
7.2,3,5.8,1.6,1
7.4,2.8,6.1,1.9,1
7.9,3.8,6.4,2,1
6.4,2.8,5.6,2.2,1
6.3,2.8,5.1,1.5,3
6.1,2.6,5.6,1.4,1
7.7,3,6.1,2.3,1
6.3,3.4,5.6,2.4,1
6.4,3.1,5.5,1.8,1
6,3,4.8,1.8,3
6.9,3.1,5.4,2.1,1
6.7,3.1,5.6,2.4,1
6.9,3.1,5.1,2.3,1
5.8,2.7,5.1,1.9,3
6.8,3.2,5.9,2.3,1
6.7,3.3,5.7,2.5,1
6.7,3,5.2,2.3,1
6.3,2.5,5,1.9,3
6.5,3,5.2,2,1
6.2,3.4,5.4,2.3,1
5.9,3,5.1,1.8,3
4.94066e-324,6.95335e-310,6.95336e-310,4.63557e-310,2
